Month,Day,Hour,DayOfWeek,Holiday,Power,Temperature, 
1,20,20,5,0,73.9243,46.475, 
1,20,21,5,0,70.4478,46.555, 
1,20,22,5,0,65.1998,44.66, 
1,20,23,5,0,60.0076,45, 
1,20,24,5,0,56.7378,44.865, 
1,21,1,6,0,53.0702,43.935, 
1,21,2,6,0,52.2392,43, 
1,21,3,6,0,52.0177,42.865, 
1,21,4,6,0,51.474,41.77, 
1,21,5,6,0,52.0237,40.065, 
1,21,6,6,0,53.6838,41.162, 
1,21,7,6,0,57.2699,42.242, 
1,21,8,6,0,61.5703,43.322, 
1,21,9,6,0,65.8514,44.402, 
1,21,10,6,0,69.4853,45.482, 
1,21,11,6,0,71.4135,46.475, 
1,21,12,6,0,71.8857,47.2, 
1,21,13,6,0,69.7827,49.065, 
1,21,14,6,0,68.0572,50.885, 
1,21,15,6,0,67.1092,56.065, 
1,21,16,6,0,67.8101,56.76, 
1,21,17,6,0,72.5068,54.59, 
1,21,18,6,0,74.1727,48.815, 
1,21,19,6,0,72.0313,41.635, 
1,21,20,6,0,69.7373,38.55, 
1,21,21,6,0,66.7143,35.865, 
1,21,22,6,0,62.4256,34.8, 
1,21,23,6,0,58.2698,32.935, 
1,21,24,6,0,56.0489,31.7, 
1,22,1,7,0,53.8343,29.835, 
1,22,2,7,0,52.4054,28.765, 
1,22,3,7,0,51.9954,27.85, 
1,22,4,7,0,51.899,26.7, 
1,22,5,7,0,52.2267,24.865, 
1,22,6,7,0,54.2927,23.77, 
1,22,7,7,0,56.8074,22.23, 
1,22,8,7,0,58.7731,24.535, 
1,22,9,7,0,64.3041,27.285, 
1,22,10,7,0,67.6986,29.065, 
1,22,11,7,0,68.9676,30.135, 
1,22,12,7,0,68.4375,31.065, 
1,22,13,7,0,67.7817,32, 
1,22,14,7,0,65.1886,32, 
1,22,15,7,0,63.916,32, 
1,22,16,7,0,64.7903,31.835, 
1,22,17,7,0,72.4676,30.465, 
